food_name,cluster_id
가토쇼콜라케이크,1894
스노우볼,2097
쉬폰,625
다시마구기자조림,4493
고구마빵,3142
초코다쿠아즈,4177
소고기선지국,4189
사과초콜렛과자,2768
초코파운드케익,907
크리스마스케익,2943
귤칩,650
딸기슈,451
치즈샐러드,1129
마카로니그라탕,3882
베이컨참치야채토스트,1940
느타리버섯볶음,1488
사골떡볶이,1733
어묵꼬치우동,1629
바나나초콜릿파운드케이크,4529
소고기스튜,4958
등갈비강정,102
고구마머랭구이,1211
깨강정,3351
단호박떡케익,4783
아몬드피넛버터쿠키,3616
무만두,4262
마론잼,943
초코컵케이크,1544
파프리카카나페,784
햄에그샌드위치,3265
스시롤,2954
파래새우전,997
청국장찌개,1458
파프리카미트로프,784
브레드스틱,1943
청경채무침,3889
피칸쿠키,4841
버섯찌개,4092
무스테이크,2983
단자,2020
초콜릿치즈케이크,3094
오징어다리튀김,1130
베이컨라이스미트로프,789
식빵마늘빵,1173
고추장찌개,3162
애플타르트,2235
요구르트카레라이스,39
육개장,1486
베이글,3723
치즈파스타,551
피칸초코칩쿠키,4841
레몬홍차비스코티,4038
키위양갱,4183
초코땅콩쿠키,1301
대추생강차,2956
콩나물맛살무침,3614
파래초무침,4044
치킨떡꼬치,46
허니브레드,4510
찰호떡,799
소시지야채볶음,4935
핫케이크도너츠,2105
요구르트샐러드,4930
파래전,122
